Name|score|condition|slots|machine|part|effect|learn
Random Smash|2|1 shot, melee, missile|4|Mingtian 1|Arm|The Smash equivalent of Aim, this skill randomly selects a part to instantly destroy, be it the legs, either arm, or even the body.  This skill is fun to use, but it's not reliable enough, as it doesn't activate very often, and you can't be sure what part it'll take down.  Arm Smash is probably a better choice, or Body Smash, if you have a spare slot.|
Revenge 1|4|No Shoulder Weapon; Must attack last, enemy must do more damage than your weapon can do.|1|Jinyo Mk110|Body|If the enemy attacks first and does more damage collectively than your weapon would normally do, this skill may activate.  It sets your damage to 1.2x the damage the enemy did.  It won't activate very often, but it does chain well and it can be useful when you have a weak weapon, or the enemy has a powerful one.  Also, the enemy's anti-piercing or anti-impact defense won't block out any of the damage.  The enemy can use burst weapons (which usually do huge amounts of damage), and so can you (the damage will be split up between each bullet).  If you can only do 100 damage with an attack, but the enemy does 500, you'll return 600 damage to him.|You have to have a weapon that will do at most the damage the enemy can do to you, because if Revenge1 will set the damage to less than your normal power, it won't activate.  Equip a weak weapon or go against enemies with some awesome power.  Revenge tends to activate most whent the enemy does a huge amount of damage to you.  Also keep in mind that the enemy must attack first, so consider using a melee weapon or avoiding enemies with melee.  Consider equipping AutoCounter, just in case the enemy destroys your arm or body with the huge damage you want them to do.
Revenge 2|3|No Shoulder Weapon; Must attack last, enemy must do more damage than your weapon can do.|2|Qibing 0|Body|This attack is similar to Revenge1, but does 1.5x as much damage.  See Revenge1 fore more info.  If the enemy does 500 damage to you, you'll return with 750 damage, even if your weapon is weak and only does 100 or so damage.|See Revenge1.
Revenge 3|4|No Shoulder Weapon; Must attack last, enemy must do more damage than your weapon can do.|3|Getty|Body|This attack is similar to Revenge1, but you return double the amount of damage the enemy did to you!  See Revenge1 for more info.  I've noticed that when you have both revenge1 and revenge3 equipped, revenge3 will usually be the one that activates because the damage it does is huge.  If you were to be hit with 500 damage, you'd return 1000 damage to the enemy, even if you're using a super weak weapon like hardblow!|See Revenge1.
Revenge-Body|1|No Shoulder Weapon; Must attack last, enemy must do more damage than your weapon can do, you must use a 1-hit weapon (rifle, fist, etc).|4|Hoshun Mk112|Body|If the enemy attacks first and destroys a part, this skill may activate and destroy the enemy body.  I consider BodySmash and a whole host of other skills to be far better, since they're easier to pull off, activate more frequently, and don't require a part to be destroyed.  However, this can be a fun, vengeful skill, if that fits your play style.  Don't expect it to activate very often at all.|This one's probably got about the same low, low acquire % as Revenge-Same.  Consider equipping AutoCounter, and giving yourself a fist, heavy p-gun or rifle.  Make sure the enemy attacks first.  Beyond that, it's just a waiting game.  It's a hard skill to learn.
Revenge-Same|-|No Shoulder Weapon; Must attack last, you must use a 1-hit weapon (rifle, fist, etc).|3|Shunyo Mk111|Arm|If the enemy attacks first and destroys a part, this skill may activate and destroy the same part on the enemy.  I don't consider this a useful skill, as it rarely activates and there are far better skills available (such as Arm Smash, Revenge3, etc).  I simply don't understand why it has such a low acquire/activate rate, since it's really not all that impressive of a skill!  Such a waste for the Shunyo.|Definatly equip several AutoCounters.  The enemy has to attack first and destroy a part, and all too often that's your weapon arm or body.  Also, the enemy must still have the part he destroys on your wanzer, or there won't be anything to destory and the skill won't activate.  This skill has an extraordinarily low acquire rate, even with the acquire up computer.  I just barely learned it myself.  The first time, the enemy destroyed my Genie legs in 1 shot, and Kazuki acquired the skill (to my great surprise).  In the next battle, both Ryogo and Kazuki somehow learned it again!  Amazing how long it took me before that.  If you don't upgrade the HP on your legs or unused arm, you have a better chance of losing parts, which helps in activating the skill. What I had equipped: I had 2 Shunyo arms on both characters (to increase the chances that it will activate), and Genie legs with minimal health (hoping they'd get destroyed).  Their body parts were Jinyo and Getty, as I was trying to learn RevengeI and RevengeIII as well.  The only skills I had equipped were multiple AutoCounters and 1 Chaff.  Kazuki was using the Franbar rifle and Ryogo was battling it out with hardblow (weak weapons are best).
ROFUP 1|5|Burst|1|Kyojun Mk107|Arm|This, in my opinion, is one of the best skills in the game.  It increases the number of shots fired to 1.2x (20% more), and chains extremely well.  It's also very easy to learn.  Chaining several ROFUP1's together can produce extreme damage!  Keep in mind that 3 ROFUP1's can do more damage than 1 ROFUP3, so if combos are your thing, this is the skill to use.|
ROFUP 2|2|Burst|2|Jinyo Mk110|Arm|Increases the number of shots fired to 1.5x.  It's an easy skill to learn and activates fairly frequently, but if you have combos in mind, consider 2 ROFUP1's instead.|
ROFUP 3|4|Burst|3|Yongsai 3|Arm|Doubles the number of shots fired, effectively doubling the damage you deal.  This means machine guns will fire 20 shots, shotguns will fire 26 shots, and flamers will fire 22 shots!  You can do tremendous amounts of damage with this skill, and it's very impressive to watch the enemy's wanzer take such a devastating hit.  It's best used on a high activation computer, rather than trying to combo it.  Keep in mind that a combo of 3 ROFUP1's will actually do a lot more damage (example, machinegun: 12 + 12 + 12 = 36 shots, which is 1much1 greater than 12 x 2 = 24 shots).|
Salvo|4|Missile|1|Whisk|Arm|If this skill activates, your wanzer will fire all the missiles left in the missile pod you're using.  This means you can launch up to 6 missiles in a single turn!  Each missile will randomly target a part.  Make sure the enemy doesn't block with a shield.  Also keep in mind that you'll be completely out of missiles and will need to change weapons or reload.  This isn't a good skill for combos, but it does work great when paired with smash attacks etc on a high activation computer (so either one or the other will likely activate).  If you equip it with body smash, you'll likely either completely unload your missile rack on one helpless enemy, or you'll simply destroy their body and kill them in one attack.  Take note that this is a very fickle skill.  You might have trouble getting it to activate until you only have two missiles left.  Then, when you least expect it, you'll unload all 6 missiles on a wanzer that's already almost dead.  Expect suprises.  ;)|
Shield Atk 1|5|Melee; Must equip a shield (and that arm cannot be destroyed)|1|Zeros|Arm|This skill attacks with the wanzer's shield, which increases the damage by a huge amount.  It also chains very well.  You can do very admirable amounts of damage with this attack, and it only takes 1 slot.  The damage is increased by the power of your melee weapon, not your shield; so be sure to equip a good fist.|Equip a shield & melee and just punch a lot of enemies.
Shield Atk 2|3|Melee; Must equip a shield (and that arm cannot be destroyed)|2|Lanze|Arm|In between Shield Atk 1 and 2, this skill has nothing special to it.  You can do tremendous amounts of damage, though, so don't pass it up too easily.|Equip a shield & melee and just punch a lot of enemies.
Shield Atk 3|5|Melee; Must equip a shield (and that arm cannot be destroyed)|3|Lenghe 1|Arm|Quite easily the most powerful attack in the game.  You can do damage in the thousands with this attack.  Excellent on a high-activation computer.|Equip a shield & melee and just punch a lot of enemies.
Skill+1|4|No Grenades|1|Meledyne M1|Legs|Increases the weapon rank by 1.  You get a small damage increase with this attack, and it chains quite well.  It's especially useful if you don't have PilotDMG1 or a burst weapon for ROFUP1.  It also affects any weapon (except grenades), so you don't have to worry about what weapon you use or equip.|
Skill+2|2|No Grenades|2|Grapple M1|Legs|Increases the weapon rank by 2.  It's fairly useful, and the legs you learn it from have an excellent movement range.  However, I can think of a few better skills.|
Skill+3|2|No Grenades|3|Laiying 1|Legs|Increases the weapon rank by 3.  It takes 3 slots to do this, and the damage increase may not be big enough to justify that.  However, it does have its place on a high activation computer, especially if your choice of skills is limited.|
Stun Punch|5|Melee|1|Kasel M2|Arm|This skill stuns the enemy pilot if it hits.  This is one of the best melee skills around, especially since it chains with other skills like Shield Atk1 and Tackle1.  It also activates pretty frequently.|
Tackle 1|3|Melee|1|Zenislev|Body|You tackle the enemy wanzer with all your body weight for a nice damage boost.  It's less powerful than Shield Atk1, but doesn't require a shield.  It also takes only 1 slot and chains quite well.|
Tackle 2|2|Melee|2|Tiandong 3|Body|You tackle the enemy wanzer with all your body weight for a large damage boost.  It's less powerful than Shield Atk2, but doesn't require a shield.|
Tackle 3|3|Melee|3|Lanze|Body|You tackle the enemy wanzer with all your body weight for a huge damage boost.  It's less powerful than Shield Atk3, but doesn't require a shield.|
Topple Punch|4|Melee|1|Qibing 0|Arm|Knocks over the enemy wanzer and reduces their AP to 0!  It also cancels the enemy attack if you attack first.  Unfortunately, it's not a good ability to equip if you want to chain, since knocking over the enemy ends any combos.|
Topple Shot|4|Range|1|Pare PAW1|Arm|Knocks over the enemy wanzer and reduces their AP by half.  It also cancels the enemy attack if you attack first.  If you use a machinegun or flamer, the first attack that hits will knock over the enemy, and then all the rest of the rounds in the clip won't miss.  Unfortunately, it's not a good ability to equip if you want to chain, since knocking over the enemy ends any combos.|
Zoom 1|4|No Grenades|1|Kyojun Mk107|Body|Good for chaining, ZoomI increases the success rate of hitting by 1.2x (20%) for 1 attack, and it chains really well.  If you have an 84% chance of hitting, this skill will increase it to exactly 100%.  It works for all weapons, including missiles but not grenades (of course).  It's best used with ranged weapons, as melee rarely have accuracy problems.  This skill won't improve your accuracy much if it's low, like 50% or worse.|
Zoom 2|2|No Grenades|2|Rekson M4F|Body|Like Zoom1, but brings accuracy to 1.5x (50% increase).  It's useful when you need that little extra umph that zoom1 may not be able to provide; but then again, chaining 2 zoom1's together may be better in some circumstances.|
Zoom 3|3|No Grenades|3|Grezex|Body|While it doesn't activate nearly as often as Zoom1, it certainly pulls its own weight.  ZoomIII doubles your accuracy.  If you're at 50%, it'll bring it to 100%.  From 30% to 60%.  However, if you're at 85% or higher, this skill loses its luster and you're better off with ZoomI, as anything above 100% is just redundant.  Keep this move in mind when fighting highly evasive enemies.|
